References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Farnell
Unmarked; right feather header,1,CONN RCPT 32POS 0.1 GOLD SMD,Amphenol ICC / FCI,89898-316LF,,,609-3050-ND,64989898316LF,8599921,1622552
Unmarked; battery connector in BATTERY & CHARGING,1,CONN HEADER SMD R/A 2POS 2MM,JST,S2B-PH-SM4-TB(LF)(SN),,,455-1749-1-ND,,6881353,9492615
PORT_I2C,1,CONN HEADER SMD R/A 4POS 2MM,JST,S4B-PH-SM4-TB(LF)(SN),,,455-1751-6-ND,,6881366,9492631
"PORT_A8, PORT_A9",2,CONN HEADER SMD R/A 3POS 2MM,JST,S3B-PH-SM4-TB(LF)(SN),,,455-1750-6-ND,,6881357,9492623
Flex connector (usually Good Display includes a better one),1,CONN FPC TOP 24POS 0.50MM R/A,Amphenol ICC / FCI,SFV24R-4STBE1HLF,,,609-5202-1-ND,649SFV24R4STBE1HLF,,2892429
"BTN_LOCK, BTN_RESET",2,SWITCH TACTILE SPST-NO 0.05A 50V,C&K Components,KSS231GLFS,,,401-1098-1-ND,611KSS231GLFS,5059057,1437639
"Optional: DNP_NEXT_ALT, DNP_PREV_ALT",2,SWITCH TACTILE SPST-NO 0.05A 12V,E-Switch,TL3330AF130QG,,,EG4388CT-ND,612TL3330AF130QG,,2522276
BTN_PREV/NEXT/UP/DOWN/LEFT/RIGHT/SEL,7,SWITCH TACTILE SPST-NO 0.05A 12V,E-Switch,TL1107AF130WQ,,,EG2510-ND,612TL1107AF130W,,2830645
SW1,1,SWITCH SLIDE SPDT 200MA 30V,TE Connectivity,1825232-1,,,A107673-ND,65518252321,,2772069
"Unmarked; mounts on front side, atop documentation",1,4.2 inch e-ink panel GDEW042T2,Good Display,GDEW042T2,Waveshare,13186,Buy the display here: https://tinyurl.com/GDEW042T2,,,
