Reference, Quantity, Value, Footprint, Datasheet
B1 ,1,"CR1220","OSO-TIBO-B2-00:CR1220",""
C1 C17 C2 ,3,"10µF","OSO-TIBO-B2-00:0805-NO",""
C10 C11 C12 C13 C14 C9 ,6,"1uF/25V","OSO-TIBO-B2-00:0805_10MGAP",""
C16 ,1,"100uF","OSO-TIBO-B2-00:C1210",""
C15 C18 C3 ,3,"1uF","OSO-TIBO-B2-00:0805-NO",""
C5 ,1,"4.7uF/25V","OSO-TIBO-B2-00:0805-NO",""
C6 C7 C8 ,3,"1uF","OSO-TIBO-B2-00:0805_10MGAP",""
D1 D2 D3 ,3,"MBR0530","OSO-TIBO-B2-00:SOD-123",""
D6 ,1,"1N4148","OSO-TIBO-B2-00:SOD-123",""
FB1 FB2 ,2,"Ferrite","OSO-TIBO-B2-00:0805",""
FID1 FID2 FID3 FID4 ,4,"FIDUCIAL_1MM","OSO-TIBO-B2-00:FIDUCIAL_1MM",""
J1 ,1,"HEADER-1X9_JSTSH","OSO-TIBO-B2-00:JST_SH9",""
J2 ,1,"SJ-43514-SMT","OSO-TIBO-B2-00:CUI_SJ-43514-SMT",""
J3 ,1,"52746-8","OSO-TIBO-B2-00:52746-8",""
L1 ,1,"10uH","OSO-TIBO-B2-00:MICROBUILDER_INDUCTOR_4X4MM_NR401_BIGPADS",""
LED1 LED2 LED3 LED4 LED5 ,5,"WHITE","OSO-TIBO-B2-00:CHIPLED_0805",""
LED6 ,1,"BLU","OSO-TIBO-B2-00:CHIPLED_0805",""
Q1 ,1,"IRLML0100","OSO-TIBO-B2-00:SOT23-3",""
Q2 ,1,"DMG3406","OSO-TIBO-B2-00:SOT23-WIDE",""
Q3 ,1,"BSS138","OSO-TIBO-B2-00:SOT23-WIDE",""
R1 ,1,"0.47ohm","OSO-TIBO-B2-00:0805_10MGAP",""
R11 ,1,"10K","OSO-TIBO-B2-00:EXB2HV",""
R13 R14 R15 R16 R17 ,5,"10Ω","OSO-TIBO-B2-00:0805-NO",""
R10 R12 R18 R2 R4 R9 ,6,"10K","OSO-TIBO-B2-00:0805-NO",""
R3 ,1,"100~~220 (TBD)","OSO-TIBO-B2-00:0805-NO",""
R5 R6 ,2,"10K","OSO-TIBO-B2-00:_0805MP",""
R7 R8 ,2,"100","OSO-TIBO-B2-00:_0805MP",""
SJ1 ,1,"SOLDERJUMPERREFLOW_NOPASTE","OSO-TIBO-B2-00:SOLDERJUMPER_REFLOW_NOPASTE",""
SP2 ,1,"7.5mm SPK","OSO-TIBO-B2-00:BUZZER_SMT_5MM",""
TP1 TP2 TP3 TP4 TP5 ,5,"TESTPOINTROUND2MMNO","OSO-TIBO-B2-00:TESTPOINT_ROUND_2MM_NO",""
U$1 U$4 U$5 U$7 ,4,"MOUNTINGHOLE2.5","OSO-TIBO-B2-00:MOUNTINGHOLE_2.5_PLATED",""
U$31 ,1,"EINK_DISPLAY_TOUCH","OSO-TIBO-B2-00:EINK_DISPLAY_2_7_IN_TOUCH",""
U1 ,1,"AP2112-3.3","OSO-TIBO-B2-00:SOT23-5",""
U2 ,1,"ATSAMD09D14A-MU","OSO-TIBO-B2-00:QFN24_4MM",""
U3 ,1,"ALS-PT21","OSO-TIBO-B2-00:ALS-PT26-21C",""
U4 ,1,"PCF8523T","OSO-TIBO-B2-00:SOIC8_150MIL",""
X1 ,1,"32768 Hz/CL=7pF","OSO-TIBO-B2-00:XTAL3215",""
